#Field Tile Seq RA(hour) Dec(deg) Filter mean_Mag med_Mag mean_(B-R) med_(B-R)
#1 3444 614 5.02878 -69.171 B -5.912 -5.962 -0.335 -0.348
#MJD Mag Err
49558.548252 -5.724 0.15
49559.483356 -5.56 0.138
49559.660023 -5.941 0.032
49560.529965 -6.127 0.271
49560.669664 -6.235 0.167
49561.540579 -6.002 0.052
49562.571782 -5.952 0.033
49566.465613 -6.004 0.071
49566.651667 -6.005 0.026
49567.502662 -6.029 0.025
49567.658750 -5.95 0.028
49568.540208 -5.991 0.044
49568.655775 -5.966 0.069
49569.508345 -5.947 0.026
49569.658021 -5.736 0.035
49571.472593 -5.971 0.055
49571.659850 -5.793 0.088
49572.479294 -6.351 0.121
49572.492743 -5.615 0.116
49572.655312 -5.87 0.047
49573.470069 -5.659 0.063
49574.470880 -6.012 0.027
49574.506725 -5.811 0.017
49574.656053 -5.262 0.896
49577.450046 -5.967 0.055
49577.640810 -5.992 0.043
49578.462928 -5.967 0.035
49578.640104 -5.963 0.022
49579.471620 -5.981 0.026
49579.635313 -6.017 0.014
49580.427720 -5.94 0.032
49580.644201 -6.005 0.029
49581.586944 -5.947 0.041
49585.457824 -5.966 0.089
49585.651019 -5.677 0.175
49586.463229 -5.962 0.133
49586.641620 -5.729 0.157
49587.461227 -5.786 0.098
49588.497789 -5.623 0.06
49588.654178 -5.926 0.076
49589.427639 -5.54 0.047
49589.501157 -5.781 0.033
49590.435660 -5.805 0.029
49590.620000 -5.941 0.025
49591.458102 -5.955 0.033
49591.641875 -6.007 0.064
49592.427187 -5.897 0.058
49595.463808 -6.008 0.041
49595.642350 -5.995 0.053
49596.456875 -6.035 0.02
49596.636933 -5.962 0.017
49597.525046 -5.989 0.022
49597.629317 -5.985 0.014
49598.488704 -5.93 0.045
49598.624178 -5.942 0.032
49599.492442 -5.952 0.053
49601.566019 -5.703 0.065
49602.448519 -5.624 0.048
49604.465787 -5.687 0.025
49604.630417 -5.942 0.025
49605.454722 -5.876 0.026
49605.627824 -5.969 0.018
49606.458333 -5.933 0.024
49606.610521 -6.013 0.04
49607.334745 -5.856 0.128
49607.618125 -6.039 0.051
49608.459375 -6.064 0.062
49608.616632 -6.004 0.043
49609.485799 -5.997 0.05
49609.619236 -6.032 0.046
49610.439560 -6.013 0.077
49610.618704 -5.967 0.042
49611.445440 -6.085 0.143
49611.621991 -6.08 0.104
49612.442604 -5.877 0.104
49613.617975 -5.945 0.048
49614.445602 -5.634 0.461
49614.618947 -6.33 0.481
49616.469907 -5.838 0.053
49616.617940 -5.655 0.195
49617.424745 -5.713 0.112
49617.617789 -6.13 0.114
49618.422975 -5.628 0.078
49618.619919 -5.959 0.055
49619.421725 -4.133 1.26
49619.616574 -5.989 0.053
49620.455741 -5.93 0.023
49620.616505 -5.972 0.033
49621.566123 -5.941 0.057
49622.454387 -6.068 0.089
49623.453935 -5.977 0.052
49624.619896 -6.059 0.06
49625.435903 -5.86 0.029
49625.613553 -5.976 0.034
49627.442859 -5.93 0.044
49628.494780 -5.859 0.036
49629.496192 -5.978 0.058
49629.605856 -5.885 0.04
49630.418403 -5.955 0.021
49630.604537 -5.59 0.027
49633.364213 -5.881 0.033
49634.353623 -5.596 0.041
49634.591933 -6.006 0.027
49635.423981 -5.785 0.048
49635.607789 -6.065 0.062
49636.394769 -5.856 0.065
49637.476331 -5.926 0.022
49638.451065 -5.994 0.033
49639.399329 -5.982 0.02
49639.606829 -5.985 0.032
49640.433588 -6.023 0.022
49640.596285 -5.993 0.021
49641.543287 -6.014 0.022
49642.343148 -6.037 0.039
49645.324005 -5.99 0.07
49647.533079 -5.577 0.047
49648.334387 -5.914 0.034
49648.589965 -5.98 0.018
49649.330694 -5.642 0.116
49649.586840 -5.961 0.017
