#Field Tile Seq RA(hour) Dec(deg) Filter mean_Mag med_Mag mean_(B-R) med_(B-R)
#1 3444 614 5.02878 -69.171 R -5.578 -5.614 -0.335 -0.348
#MJD Mag Err
51183.344514 -5.595 0.032
51188.242870 -5.725 0.05
51350.669850 -5.638 0.055
51382.605521 -5.642 0.035
51389.617257 -5.634 0.099
51393.557442 -5.605 0.063
51401.545359 -5.225 0.061
51405.657141 -5.538 0.052
51408.601852 -5.646 0.052
51411.592847 -5.622 0.083
51414.526968 -5.537 0.037
51421.462396 -5.624 0.04
51424.478356 -5.661 0.044
51431.467130 -5.333 0.127
51433.593194 -5.652 0.04
51435.568542 -5.586 0.034
51440.429317 -5.635 0.05
51443.546042 -5.579 0.048
51450.408218 -5.534 0.099
51462.365278 -5.509 0.147
51463.537118 -5.597 0.049
51468.473854 -5.638 0.038
51471.379803 -5.608 0.033
51472.524039 -5.614 0.051
51478.357870 -5.217 0.075
51479.490509 -5.557 0.037
51484.263657 -5.64 0.052
51488.448588 -5.608 0.024
51491.480567 -5.418 0.065
51493.515324 -5.594 0.03
51495.492697 -5.737 0.045
51505.470833 -5.24 0.063
51510.444271 -5.652 0.024
51513.293056 -5.593 0.027
51514.451319 -5.708 0.04
51526.316157 -5.598 0.026
51541.344537 -5.626 0.03
